"phylum","class","order","family","genus","species","specificEpithet","sex","sampleSizeValue","inTextReference","publicationYear","fullReference","body mass","body mass - units","body mass - minimum","body mass - maximum","body mass - method","body mass - comments","body mass - metadata comment","original body mass","original body mass - units","metabolic rate","metabolic rate - units","metabolic rate - minimum","metabolic rate - maximum","metabolic rate - method","metabolic rate - comments","metabolic rate - metadata comment","original metabolic rate","original metabolic rate - units","original respiratoryQuotient","original temperature","mass-specific metabolic rate","mass-specific metabolic rate - units","brain size","brain size - units","brain size - minimum","brain size - maximum","brain size - method","brain size - comments","brain size - metadata comment","original brain size","original brain size - units"
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis","ruficollis",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.025,"kg",,,"","",,"25","g",,"",,,,"","",,"",,,,"",0.00068376,"kg",,,"skull filling","",,"0.66","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris subminuta","subminuta",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.025,"kg",,,"","",,"25","g",,"",,,,"","",,"",,,,"",0.00061124,"kg",,,"skull filling","",,"0.59","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris melanotos","melanotos",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.06,"kg",,,"","",,"60","g",,"",,,,"","",,"",,,,"",0.00105672,"kg",,,"skull filling","",,"1.02","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris acuminata","acuminata",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.065,"kg",,,"","",,"65","g",,"",,,,"","",,"",,,,"",0.00102564,"kg",,,"skull filling","",,"0.99","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ferruginea","ferruginea",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.057,"kg",,,"","",,"57","g",,"",,,,"","",,"",,,,"",0.00102564,"kg",,,"skull filling","",,"0.99","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Limicola","Limicola falcinellus","falcinellus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.04,"kg",,,"","",,"40","g",,"",,,,"","",,"",,,,"",0.00074592,"kg",,,"skull filling","",,"0.72","ml"
"Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus lobatus","lobatus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.034,"kg",,,"","",,"34","g",,"",,,,"","",,"",,,,"",0.0004662,"kg",,,"skull filling","",,"0.45","ml"
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix melanogaster","melanogaster",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0825,"kg",,,"","",,"82.5","g",,"",,,,"","",,"",,,,"",0.00109816,"kg",,,"skull filling","",,"1.06","ml"
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix varius","varius",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.08,"kg",,,"","",,"80","g",,"",,,,"","",,"",,,,"",0.00107744,"kg",,,"skull filling","",,"1.04","ml"
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix pyrrhothorax","pyrrhothorax",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0515,"kg",,,"","",,"51.5","g",,"",,,,"","",,"",,,,"",0.00059052,"kg",,,"skull filling","",,"0.57","ml"
"Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix velox","velox",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.046,"kg",,,"","",,"46","g",,"",,,,"","",,"",,,,"",0.00069412,"kg",,,"skull filling","",,"0.67","ml"
"Chordata","Aves","Charadriiformes","Glareolidae","Stiltia","Stiltia isabella","isabella",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0545,"kg",,,"","",,"54.5","g",,"",,,,"","",,"",,,,"",0.0010878,"kg",,,"skull filling","",,"1.05","ml"
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius pomarinus","pomarinus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.7,"kg",,,"","",,"700","g",,"",,,,"","",,"",,,,"",0.00496244,"kg",,,"skull filling","",,"4.79","ml"
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius parasiticus","parasiticus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.465,"kg",,,"","",,"465","g",,"",,,,"","",,"",,,,"",0.00403004,"kg",,,"skull filling","",,"3.89","ml"
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius longicaudus","longicaudus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.295,"kg",,,"","",,"295","g",,"",,,,"","",,"",,,,"",0.00306656,"kg",,,"skull filling","",,"2.96","ml"
"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous stolidus","stolidus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.185,"kg",,,"","",,"185","g",,"",,,,"","",,"",,,,"",0.00231028,"kg",,,"skull filling","",,"2.23","ml"
"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous minutus","minutus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.11,"kg",,,"","",,"110","g",,"",,,,"","",,"",,,,"",0.00156436,"kg",,,"skull filling","",,"1.51","ml"
"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion fuscata","fuscata",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.176,"kg",,,"","",,"176","g",,"",,,,"","",,"",,,,"",0.00240352,"kg",,,"skull filling","",,"2.32","ml"
"Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","albifrons",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0475,"kg",,,"","",,"47.5","g",,"",,,,"","",,"",,,,"",0.00106708,"kg",,,"skull filling","",,"1.03","ml"
"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","caspia",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.5655,"kg",,,"","",,"565.5","g",,"",,,,"","",,"",,,,"",0.00485884,"kg",,,"skull filling","",,"4.69","ml"
"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias hybrida","hybrida",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.085,"kg",,,"","",,"85","g",,"",,,,"","",,"",,,,"",0.00153328,"kg",,,"skull filling","",,"1.48","ml"
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii","dougallii",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.095,"kg",,,"","",,"95","g",,"",,,,"","",,"",,,,"",0.00158508,"kg",,,"skull filling","",,"1.53","ml"
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna sumatrana","sumatrana",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.09,"kg",,,"","",,"90","g",,"",,,,"","",,"",,,,"",0.00135716,"kg",,,"skull filling","",,"1.31","ml"
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","hirundo",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.12,"kg",,,"","",,"120","g",,"",,,,"","",,"",,,,"",0.00194768,"kg",,,"skull filling","",,"1.88","ml"
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna vittata","vittata",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.15,"kg",,,"","",,"150","g",,"",,,,"","",,"",,,,"",0.00208236,"kg",,,"skull filling","",,"2.01","ml"
"Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bergii","bergii",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.31,"kg",,,"","",,"310","g",,"",,,,"","",,"",,,,"",0.00348096,"kg",,,"skull filling","",,"3.36","ml"
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus pacificus","pacificus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",1.187,"kg",,,"","",,"1187","g",,"",,,,"","",,"",,,,"",0.0070448,"kg",,,"skull filling","",,"6.8","ml"
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus dominicanus","dominicanus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.94,"kg",,,"","",,"940","g",,"",,,,"","",,"",,,,"",0.00684796,"kg",,,"skull filling","",,"6.61","ml"
"Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus novaehollandiae","novaehollandiae",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.3125,"kg",,,"","",,"312.5","g",,"",,,,"","",,"",,,,"",0.00323232,"kg",,,"skull filling","",,"3.12","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Probosciger","Probosciger aterrimus","aterrimus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.806,"kg",,,"","",,"806","g",,"",,,,"","",,"",,,,"",0.021238,"kg",,,"skull filling","",,"20.5","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus banksii","banksii",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.67,"kg",,,"","",,"670","g",,"",,,,"","",,"",,,,"",0.0123802,"kg",,,"skull filling","",,"11.95","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus lathami","lathami",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.463,"kg",,,"","",,"463","g",,"",,,,"","",,"",,,,"",0.01013208,"kg",,,"skull filling","",,"9.78","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus funereus","funereus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.66,"kg",,,"","",,"660","g",,"",,,,"","",,"",,,,"",0.01562288,"kg",,,"skull filling","",,"15.08","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus latirostris","latirostris",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.65,"kg",,,"","",,"650","g",,"",,,,"","",,"",,,,"",0.014763,"kg",,,"skull filling","",,"14.25","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Calyptorhynchus","Calyptorhynchus baudinii","baudinii",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.66,"kg",,,"","",,"660","g",,"",,,,"","",,"",,,,"",0.01515668,"kg",,,"skull filling","",,"14.63","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Callocephalon","Callocephalon fimbriatum","fimbriatum",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.25,"kg",,,"","",,"250","g",,"",,,,"","",,"",,,,"",0.00774928,"kg",,,"skull filling","",,"7.48","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Lophochroa","Lophochroa leadbeateri","leadbeateri",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.387,"kg",,,"","",,"387","g",,"",,,,"","",,"",,,,"",0.00877492,"kg",,,"skull filling","",,"8.47","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Eolophus","Eolophus roseicapillus","roseicapillus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.312,"kg",,,"","",,"312","g",,"",,,,"","",,"",,,,"",0.00666148,"kg",,,"skull filling","",,"6.43","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Cacatua","Cacatua tenuirostris","tenuirostris",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.565,"kg",,,"","",,"565","g",,"",,,,"","",,"",,,,"",0.01102304,"kg",,,"skull filling","",,"10.64","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Cacatua","Cacatua pastinator","pastinator",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.765,"kg",,,"","",,"765","g",,"",,,,"","",,"",,,,"",0.01138564,"kg",,,"skull filling","",,"10.99","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Cacatua","Cacatua sanguinea","sanguinea",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.472,"kg",,,"","",,"472","g",,"",,,,"","",,"",,,,"",0.00923076,"kg",,,"skull filling","",,"8.91","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Cacatua","Cacatua galerita","galerita",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.728,"kg",,,"","",,"728","g",,"",,,,"","",,"",,,,"",0.01475264,"kg",,,"skull filling","",,"14.24","ml"
"Chordata","Aves","Psittaciformes","Cacatuidae","Nymphicus","Nymphicus hollandicus","hollandicus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.08815,"kg",,,"","",,"88.15","g",,"",,,,"","",,"",,,,"",0.00247604,"kg",,,"skull filling","",,"2.39","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Trichoglossus","Trichoglossus haematodus","haematodus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.125,"kg",,,"","",,"125","g",,"",,,,"","",,"",,,,"",0.00379176,"kg",,,"skull filling","",,"3.66","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Trichoglossus","Trichoglossus chlorolepidotus","chlorolepidotus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0869,"kg",,,"","",,"86.9","g",,"",,,,"","",,"",,,,"",0.0031598,"kg",,,"skull filling","",,"3.05","ml"
"Chordata","Aves","Psittaciformes","Psittacidae","Psitteuteles","Psitteuteles versicolor","versicolor",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0536,"kg",,,"","",,"53.6","g",,"",,,,"","",,"",,,,"",0.002072,"kg",,,"skull filling","",,"2","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Glossopsitta","Glossopsitta concinna","concinna",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.07,"kg",,,"","",,"70","g",,"",,,,"","",,"",,,,"",0.00297332,"kg",,,"skull filling","",,"2.87","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Glossopsitta","Glossopsitta pusilla","pusilla",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0415,"kg",,,"","",,"41.5","g",,"",,,,"","",,"",,,,"",0.00164724,"kg",,,"skull filling","",,"1.59","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Glossopsitta","Glossopsitta porphyrocephala","porphyrocephala",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.045,"kg",,,"","",,"45","g",,"",,,,"","",,"",,,,"",0.00195804,"kg",,,"skull filling","",,"1.89","ml"
"Chordata","Aves","Psittaciformes","Psittaculidae","Cyclopsitta","Cyclopsitta diophthalma","diophthalma",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.0366,"kg",,,"","",,"36.6","g",,"",,,,"","",,"",,,,"",0.0017612,"kg",,,"skull filling","",,"1.7","ml"
"Chordata","Aves","Psittaciformes","Psittacidae","Eclectus","Eclectus roratus","roratus",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.507,"kg",,,"","",,"507","g",,"",,,,"","",,"",,,,"",0.00762496,"kg",,,"skull filling","",,"7.36","ml"
"Chordata","Aves","Psittaciformes","Psittacidae","Geoffroyus","Geoffroyus geoffroyi","geoffroyi",,1,"Franklin, Garnett, Luck, Gutierrez-Ibanez, & Iwaniuk, 2014","2014","Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu, 114(2), 160-170. doi:10.1071/MU13034",0.152,"kg",,,"","",,"152","g",,"",,,,"","",,"",,,,"",0.00441336,"kg",,,"skull filling","",,"4.26","ml"
