"observationID","ignore","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
50,"","Chordata","Aves","Stringiformes","Strigidae","Bubo","virginianus","male","brain size",13.7,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
51,"","Chordata","Aves","Galliformes","Phasianidae","Dendroperdix","sephaena","male","body mass",0.208,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
51,"","Chordata","Aves","Galliformes","Phasianidae","Dendroperdix","sephaena","male","brain size",1.5,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
52,"","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelicanus","occidentalis","female","body mass",3.29,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
52,"","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelicanus","occidentalis","female","brain size",17.45,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
53,"","Chordata","Aves","Galliformes","Phasianidae","Phasianus","colchicus","male","body mass",0.625,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
53,"","Chordata","Aves","Galliformes","Phasianidae","Phasianus","colchicus","male","brain size",3.289,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
54,"","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","phoebe","male","body mass",0.0181,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
54,"","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","phoebe","male","brain size",0.793,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
55,"","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","phoebe","female","body mass",0.0175,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
55,"","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","phoebe","female","brain size",0.75,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
56,"","Chordata","Aves","Columbiformes","Columbiformes","Columba","livia","female","body mass",0.247,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
56,"","Chordata","Aves","Columbiformes","Columbiformes","Columba","livia","female","brain size",2.285,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
57,"","Chordata","Aves","Columbiformes","Columbiformes","Columba","livia","male","body mass",0.282,"kg",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
57,"","Chordata","Aves","Columbiformes","Columbiformes","Columba","livia","male","brain size",2.694,"g",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
58,"","Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","male","body mass",0.542,"kg",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
58,"","Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","male","brain size",2.377,"g",,,3,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
59,"","Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","female","body mass",0.54,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
59,"","Chordata","Aves","Galliformes","Phasianidae","Lagopus","lagopus","female","brain size",2.8,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
60,"","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius","male","body mass",0.0693,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
60,"","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius","male","brain size",2.09,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
61,"","Chordata","Aves","Anseriformes","Anatidae","Aythya","marila","female","body mass",0.787,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
61,"","Chordata","Aves","Anseriformes","Anatidae","Aythya","marila","female","brain size",4.7859,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
62,"","Chordata","Aves","Passeriformes","Passeridae","Passer","domesticus","female","body mass",0.02326,"kg",,,11,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
62,"","Chordata","Aves","Passeriformes","Passeridae","Passer","domesticus","female","brain size",1.0185,"g",,,11,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
63,"","Chordata","Aves","Passeriformes","Passeridae","Passer","domesticus","male","body mass",0.02357,"kg",,,75,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
63,"","Chordata","Aves","Passeriformes","Passeridae","Passer","domesticus","male","brain size",1.0278,"g",,,75,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
64,"","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","melodia","female","body mass",0.021,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
64,"","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","melodia","female","brain size",1.1,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
65,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","abdimii","male","body mass",0.95,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
65,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","abdimii","male","brain size",7.3,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
66,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","ciconia","male","body mass",3.35,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
66,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","ciconia","male","brain size",16.24,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
67,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","ciconia","female","body mass",3.334,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
67,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","ciconia","female","brain size",15.78,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
68,"","Chordata","Aves","Pelecaniformes","Scopidae","Scopus","umbretta","male","body mass",0.3175,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
68,"","Chordata","Aves","Pelecaniformes","Scopidae","Scopus","umbretta","male","brain size",3.93,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
69,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Leptoptilos","crumeniferus","male","body mass",7.13,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
69,"","Chordata","Aves","Ciconiiformes","Ciconiidae","Leptoptilos","crumeniferus","male","brain size",30.14,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
70,"","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","rustica","male","body mass",0.0215,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
70,"","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","rustica","male","brain size",0.904,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
71,"","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","rustica","female","body mass",0.021,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
71,"","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","rustica","female","brain size",0.879,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
72,"","Chordata","Aves","Anseriformes","Anatidae","Anas","carolinensis","female","body mass",0.305,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
72,"","Chordata","Aves","Anseriformes","Anatidae","Anas","carolinensis","female","brain size",3.116,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
73,"","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","vulgaris","female","body mass",0.05835,"kg",,,10,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
73,"","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","vulgaris","female","brain size",1.8248,"g",,,10,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
74,"","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","vulgaris","male","body mass",0.05736,"kg",,,15,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
74,"","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","vulgaris","male","brain size",1.8701,"g",,,15,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
75,"","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","africanus","female","body mass",5.27,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
75,"","Chordata","Aves","Accipitriformes","Accipitridae","Gyps","africanus","female","brain size",19.6,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
76,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","arctos","female","body mass",142.88,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
76,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","arctos","female","brain size",233.9,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
77,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","maritimus","male","body mass",199.57,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
77,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","maritimus","male","brain size",489,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
78,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","maritimus","female","body mass",317,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
78,"","Chordata","Mammalia","Carnivora","Ursidae","Ursus","maritimus","female","brain size",507,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
79,"","Chordata","Mammalia","Carnivora","Viverridae","Spilogale","arizonae","female","brain size",6,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
80,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","","body mass",1.542,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
80,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","","brain size",18,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
81,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","female","body mass",2.885,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
81,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","female","brain size",23.46,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
82,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","male","body mass",3.778,"kg",,,5,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
82,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","male","brain size",28.37,"g",,,5,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
83,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","male","body mass",5.012,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
83,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silestris","male","brain size",28.23,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
84,"","Chordata","Mammalia","Carnivora","Viverridae","Genetta","tigrina","male","body mass",1.302,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
84,"","Chordata","Mammalia","Carnivora","Viverridae","Genetta","tigrina","male","brain size",15.89,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
85,"","Chordata","Mammalia","Carnivora","Viverridae","Genetta","tigrina","female","body mass",1.525,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
85,"","Chordata","Mammalia","Carnivora","Viverridae","Genetta","tigrina","female","brain size",15.35,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
86,"","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","astutus","male","brain size",17.1,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
87,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silvestris ","female","body mass",2.7,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
87,"","Chordata","Mammalia","Carnivora","Felidae","Felis","silvestris ","female","brain size",28.48,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
88,"","Chordata","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","male","body mass",22.2,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
88,"Ignore - see comment","Chordata","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","male","brain size",2.449,"g",,,1,"This appears to be an error in the source document",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
89,"","Chordata","Mammalia","Carnivora","Felidae","Acinonyx","jubatus","male","body mass",40.82,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
90,"Ignore - see comment","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","narica","","body mass",0.399,"kg",,,1,"This appears to be an error in the source document, possibly a misplaced decimal point",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
90,"","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","narica","","brain size",23.3,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
91,"","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","narica","male","body mass",6.25,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
91,"","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","narica","male","brain size",44.17,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
92,"","Chordata","Mammalia","Carnivora","Canidae","Canis","latrans","female","body mass",8.51,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
92,"","Chordata","Mammalia","Carnivora","Canidae","Canis","latrans","female","brain size",84.24,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
93,"","Chordata","Mammalia","Carnivora","Canidae","Canis","latrans","female","brain size",80,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
94,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","body mass",14.56,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
94,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","brain size",79.99,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
95,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","body mass",12.47,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
95,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","brain size",81.14,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
96,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","body mass",24.49,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
96,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","brain size",105.9,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
97,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","body mass",31.75,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
97,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","brain size",130.7,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
98,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","body mass",26.94,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
98,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","brain size",79.3,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
99,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","body mass",14.75,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
99,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","brain size",66.53,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
100,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","body mass",11.26,"kg",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
100,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","male","brain size",87.6,"g",,,2,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
101,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","body mass",23.71,"kg",,,4,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
101,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","female","brain size",84.63,"g",,,4,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
102,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","","body mass",19.28,"kg",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","",
102,"","Chordata","Mammalia","Carnivora","Canidae","Canis","familiaris","","brain size",90,"g",,,1,"",138,"Crile & Quiring, 1940",1940,"Crile, G., & Quiring, D. P. (1940). A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science","brain weighed",
